region;Annee;nb_lycees
AUVERGNE-RHONE-ALPES;2018 - 2019;365
AUVERGNE-RHONE-ALPES;2019 - 2020;362
AUVERGNE-RHONE-ALPES;2020 - 2021;360
AUVERGNE-RHONE-ALPES;2021 - 2022;358
BOURGOGNE-FRANCHE-COMTE;2018 - 2019;129
BOURGOGNE-FRANCHE-COMTE;2019 - 2020;129
BOURGOGNE-FRANCHE-COMTE;2020 - 2021;126
BOURGOGNE-FRANCHE-COMTE;2021 - 2022;124
BRETAGNE;2018 - 2019;138
BRETAGNE;2019 - 2020;138
BRETAGNE;2020 - 2021;137
BRETAGNE;2021 - 2022;138
CENTRE-VAL DE LOIRE;2018 - 2019;104
CENTRE-VAL DE LOIRE;2019 - 2020;103
CENTRE-VAL DE LOIRE;2020 - 2021;102
CENTRE-VAL DE LOIRE;2021 - 2022;102
CORSE;2018 - 2019;13
CORSE;2019 - 2020;13
CORSE;2020 - 2021;13
CORSE;2021 - 2022;13
GRAND EST;2018 - 2019;248
GRAND EST;2019 - 2020;244
GRAND EST;2020 - 2021;243
GRAND EST;2021 - 2022;243
HAUTS-DE-FRANCE;2018 - 2019;300
HAUTS-DE-FRANCE;2019 - 2020;299
HAUTS-DE-FRANCE;2020 - 2021;299
HAUTS-DE-FRANCE;2021 - 2022;299
ILE-DE-FRANCE;2018 - 2019;456
ILE-DE-FRANCE;2019 - 2020;455
ILE-DE-FRANCE;2020 - 2021;452
ILE-DE-FRANCE;2021 - 2022;448
NORMANDIE;2018 - 2019;158
NORMANDIE;2019 - 2020;158
NORMANDIE;2020 - 2021;156
NORMANDIE;2021 - 2022;156
NOUVELLE-AQUITAINE;2018 - 2019;266
NOUVELLE-AQUITAINE;2019 - 2020;267
NOUVELLE-AQUITAINE;2020 - 2021;268
NOUVELLE-AQUITAINE;2021 - 2022;265
OCCITANIE;2018 - 2019;233
OCCITANIE;2019 - 2020;232
OCCITANIE;2020 - 2021;233
OCCITANIE;2021 - 2022;233
PAYS DE LA LOIRE;2018 - 2019;140
PAYS DE LA LOIRE;2019 - 2020;140
PAYS DE LA LOIRE;2020 - 2021;140
PAYS DE LA LOIRE;2021 - 2022;141
PROVENCE-ALPES-COTE D'AZUR;2018 - 2019;206
PROVENCE-ALPES-COTE D'AZUR;2019 - 2020;203
PROVENCE-ALPES-COTE D'AZUR;2020 - 2021;202
PROVENCE-ALPES-COTE D'AZUR;2021 - 2022;197